# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol),dG (TF),std (TF),diff (TF vs exp),diff (GAFF vs exp),dG (Brooks),diff (Brooks vs TF),,,,,,,RMSE(Brooks vs TF),RMSE (TF vs exp)
mobley_6006813, CCCC[N+](=O)[O-], 1-nitrobutane,-3.09,0.6,-1.45,0.03,-5.43,0.13,2.34,1.64,,,,,,,,,,5.48
mobley_2310185, CCO, ethanol,-5,0.6,-3.39,0.02,-4.49,0.06,0.51,1.61,,,,,,,,,,0.26
mobley_1636752, CO, methanol,-5.1,0.6,-3.49,0.02,-4.63,0.06,0.47,1.61,,,,,,,,,,0.22
mobley_7578802, C(Br)(Br)Br, bromoform,-2.13,0.6,-0.53,0.02,,,,1.60,,,,,,,,,,
mobley_1520842, Cc1ccncc1, 4-methylpyridine,-4.93,0.6,-3.34,0.03,-4.53,0.08,0.40,1.59,,,,,,,,,,0.16
mobley_8861672, Cc1ccnc(c1)C," 2,4-dimethylpyridine",-4.86,0.6,-3.28,0.03,-3.89,0.07,0.97,1.58,,,,,,,,,,0.94
mobley_468867, C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl, heptachlor,-2.55,0.1,-0.97,0.04,-2.27,0.14,0.28,1.58,,,,,,,,,,0.08
mobley_197466, CC(=O)C1CC1, 1-cyclopropylethanone,-4.61,0.6,-3.04,0.03,-5.21,0.05,0.60,1.57,,,,,,,,,,0.36
mobley_6854178, CC(C)OC=O, isopropyl formate,-2.02,0.6,-3.59,0.03,-2.51,0.04,0.49,1.57,,,,,,,,,,0.24
mobley_7227357, CCC(CC)O, pentan-3-ol,-4.35,0.6,-2.79,0.03,-2.89,0.08,1.46,1.56,,,,,,,,,,2.13
mobley_9507933, Cc1ccc(nc1)C," 2,5-dimethylpyridine",-4.72,0.6,-3.17,0.03,-3.05,0.14,1.67,1.55,,,,,,,,,,2.79
mobley_5977084, Cc1cccnc1, 3-methylpyridine,-4.77,0.6,-3.22,0.03,-3.66,0.05,1.11,1.55,,,,,,,,,,1.23
mobley_6303022, CCc1ccncc1, 4-ethylpyridine,-4.73,0.6,-3.19,0.03,-3.78,0.05,0.95,1.54,,,,,,,,,,0.90
mobley_6917738, COCCN, 2-methoxyethanamine,-6.55,0.6,-5.03,0.03,-3.15,0.08,3.40,1.52,,,,,,,,,,11.56
mobley_3325209, COC(c1ccccc1)(OC)OC, trimethoxymethylbenzene,-4.04,0.6,-5.56,0.04,-3.26,0.11,0.78,1.52,,,,,,,,,,0.61
mobley_313406, CCCO, propan-1-ol,-4.85,0.6,-3.33,0.02,-4.07,0.04,0.78,1.52,,,,,,,,,,0.61
mobley_1858644, c1ccc(cc1)CCO, 2-phenylethanol,-6.79,0.6,-5.28,0.03,-5.56,0.07,1.23,1.51,,,,,,,,,,1.51
mobley_7099614, C=CCCl, 3-chloroprop-1-ene,-0.57,0.6,0.94,0.02,0.34,0.05,0.91,1.51,,,,,,,,,,0.83
mobley_6727159, C(CO[N+](=O)[O-])O, 2-(nitrooxy)ethan-1-ol,-8.18,0.1,-6.68,0.03,-6.61,0.07,1.57,1.50,,,,,,,,,,2.46
mobley_9838013, CCC(C)(C)O, 2-methylbutan-2-ol,-4.43,0.6,-2.93,0.03,-2.02,0.09,2.41,1.50,,,,,,,,,,5.81
mobley_5311804, c1ccc(cc1)CO, phenylmethanol,-6.62,0.6,-5.13,0.03,-6.31,0.11,0.31,1.49,,,,,,,,,,0.10
mobley_3686115, CCOC(C)OCC," 1,1-diethoxyethane",-3.28,0.2,-1.79,0.04,-2.3,0.11,0.98,1.49,,,,,,,,,,0.96
mobley_7977115, CCC[C@H](CC)O, hexan-3-ol,-4.06,0.6,-2.58,0.03,-2.78,0.04,1.28,1.48,,,,,,,,,,1.64
mobley_1903702, CC[C@H](C)O, butan-2-ol,-4.62,0.6,-3.15,0.03,-3.43,0.08,1.19,1.47,,,,,,,,,,1.42
mobley_9624458, C(CCl)CCl," 1,3-dichloropropane",-1.89,0.6,-0.42,0.02,0.13,0.27,2.02,1.47,,,,,,,,,,4.08
mobley_1944394, CN(C)CCOC(c1ccccc1)c2ccccc2, [2-benzhydryloxyethyl]-dimethyl-amine,-9.34,0.62,-7.87,0.06,-3.72,0.4,5.62,1.47,,,,,,,,,,31.58
mobley_7610437, CC[C@H](C(C)C)O, 2-methylpentan-3-ol,-3.88,0.6,-2.42,0.03,-2.49,0.11,1.39,1.46,,,,,,,,,,1.93
mobley_4371692, c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N," 1-amino-4-hydroxy-9,10-anthracenedione",-9.53,0.28,-10.98,0.05,-11.34,0.04,1.81,1.45,,,,,,,,,,3.28
mobley_9246215, C=CCC=C," penta-1,4-diene",0.93,0.6,2.36,0.02,0.74,0.04,0.19,1.43,,,,,,,,,,0.04
mobley_2958326, CCCNCCC, N-propylpropan-1-amine,-3.65,0.6,-2.23,0.03,-0.84,0.09,2.81,1.42,,,,,,,,,,7.90
mobley_3546460, CCCCCCO, hexan-1-ol,-4.4,0.6,-3,0.03,-3.61,0.04,0.79,1.40,,,,,,,,,,0.62
mobley_36119, CCCCCCCCO, octan-1-ol,-4.09,0.6,-2.69,0.03,-3.19,0.2,0.90,1.40,,,,,,,,,,0.81
mobley_5600967, CN(C)C(=O)c1ccc(cc1)OC," 4-methoxy-N,N-dimethyl-benzamide",-11.01,0.6,-9.62,0.04,-10.13,0.16,0.88,1.39,,,,,,,,,,0.77
mobley_9740891, c1cc(c(c(c1)Cl)C#N)Cl, dichlobenil,-4.71,1.93,-3.32,0.03,-4.97,0.12,0.26,1.39,,,,,,,,,,0.07
mobley_2245668, CC(C)CO, 2-methylpropan-1-ol,-4.5,0.6,-3.13,0.03,-3.58,0.04,0.92,1.37,,,,,,,,,,0.85
mobley_4893032, CCCCC#N, pentanenitrile,-3.52,0.6,-2.15,0.02,-2.89,0.08,0.63,1.37,,,,,,,,,,0.40
mobley_8124669, CCc1cccc(c1N(COC)C(=O)CCl)CC, alachlor,-8.21,0.29,-6.85,0.05,-7.86,0.23,0.35,1.36,,,,,,,,,,0.12
mobley_2996632, C(Cl)(Cl)Cl, chloroform,-1.08,0.6,0.28,0.02,,,,1.36,,,,,,,,,,
mobley_9974966, CC(C)SC(C)C, 2-isopropylsulfanylpropane,-1.21,0.6,0.14,0.03,1.81,0.12,3.02,1.35,,,,,,,,,,9.12
mobley_3762186, C(Cl)Cl, dichloromethane,-1.31,0.6,0.04,0.02,0.49,0.04,1.80,1.35,,,,,,,,,,3.24
mobley_3269565, CC(C)OC, 2-methoxypropane,-2.01,0.6,-0.66,0.02,-0.4,0.07,1.61,1.35,,,,,,,,,,2.59
mobley_4305650, CCC#N, propanenitrile,-3.84,0.6,-2.49,0.02,-2.51,0.07,1.33,1.35,,,,,,,,,,1.77
mobley_9185328, CCCN, propan-1-amine,-4.39,0.6,-3.05,0.02,-1.05,0.03,3.34,1.34,,,,,,,,,,11.16
mobley_2410897, CCN, ethanamine,-4.5,0.6,-3.16,0.02,-1.2,0.02,3.30,1.34,,,,,,,,,,10.89
mobley_1893815, C(C(Cl)(Cl)Cl)Cl," 1,1,1,2-tetrachloroethane",-1.43,0.1,-0.09,0.03,-0.3,0.07,1.13,1.34,,,,,,,,,,1.28
mobley_5056289, C[C@H]1CCCO1, 2-methyltetrahydrofuran,-3.3,0.6,-1.98,0.02,-1.96,0.08,1.34,1.32,,,,,,,,,,1.80
mobley_3378420, CCCCCCCCCO, nonan-1-ol,-3.88,0.6,-2.56,0.03,-2.96,0.09,0.92,1.32,,,,,,,,,,0.85
mobley_4434915, CCl, chloromethane,-0.55,0.6,0.76,0.01,1.21,0.06,1.76,1.31,,,,,,,,,,3.10
mobley_7326982, CC(C)O, propan-2-ol,-4.74,0.6,-3.43,0.02,-3.91,0.05,0.83,1.31,,,,,,,,,,0.69
mobley_3395921, C1CCOCC1, tetrahydropyran,-3.12,0.6,-1.81,0.02,-2.46,0.07,0.66,1.31,,,,,,,,,,0.44
mobley_2294995, CCOC=O, ethyl formate,-2.56,0.6,-3.87,0.02,-2.7,0.12,0.14,1.31,,,,,,,,,,0.02
mobley_5692472, CNC, N-methylmethanamine,-4.29,0.6,-2.99,0.02,-3.06,0.01,1.23,1.30,,,,,,,,,,1.51
mobley_2492140, C(C(Cl)(Cl)Cl)(Cl)Cl," 1,1,1,2,2-pentachloroethane",-1.23,0.1,0.06,0.03,-0.8,0.12,0.43,1.29,,,,,,,,,,0.18
mobley_2613240, COc1ccccc1OC," 1,2-dimethoxybenzene",-5.33,0.1,-4.05,0.03,-1.85,1.64,3.48,1.28,,,,,,,,,,12.11
mobley_9733743, CCCCN, butan-1-amine,-4.24,0.6,-2.96,0.03,-1.01,0.02,3.23,1.28,,,,,,,,,,10.43
mobley_7010316, C1CCC(CC1)O, cyclohexanol,-5.46,0.6,-4.18,0.03,-3.39,0.3,2.07,1.28,,,,,,,,,,4.28
mobley_4924862, CC(C)CCOC=O, isopentyl formate,-2.13,0.6,-3.41,0.03,-1.89,0.03,0.24,1.28,,,,,,,,,,0.06
mobley_8983100, CBr, bromomethane,-0.82,0.6,0.46,0.02,0.37,0.05,1.19,1.28,,,,,,,,,,1.42
mobley_1893937, CCCCCCCl, 1-chlorohexane,0,0.6,1.26,0.03,1.69,0.12,1.69,1.26,,,,,,,,,,2.86
mobley_766666, C(=C(Cl)Cl)Cl," 1,1,2-trichloroethylene",-0.44,0.6,0.82,0.02,-0.63,0.05,0.19,1.26,,,,,,,,,,0.04
mobley_1717215, COC=O, methyl formate,-2.78,0.6,-4.03,0.02,-3.27,0.01,0.49,1.25,,,,,,,,,,0.24
mobley_5917842, Cc1ccc(c(c1)OC)O, 4-methyl-2-methoxyphenol,-5.8,0.1,-4.55,0.04,-3.85,0.19,1.95,1.25,,,,,,,,,,3.80
mobley_6309289, C1CCNCC1, piperidine,-5.11,0.6,-3.87,0.03,-2.55,0.08,2.56,1.24,,,,,,,,,,6.55
mobley_637522, c1ccc2cc3ccccc3cc2c1, anthracene,-3.95,0.6,-5.19,0.04,-2.92,0.06,1.03,1.24,,,,,,,,,,1.06
mobley_7455579, CC(C)COC=O, isobutyl formate,-2.22,0.6,-3.46,0.03,-1.85,0.09,0.37,1.24,,,,,,,,,,0.14
mobley_852937, c1cc(ccc1O)F, 4-fluorophenol,-6.19,0.6,-4.96,0.03,-5.69,0.01,0.50,1.23,,,,,,,,,,0.25
mobley_8705848, CC(C)NC(C)C, N-isopropylpropan-2-amine,-3.22,0.6,-1.99,0.03,0.14,0.75,3.36,1.23,,,,,,,,,,11.29
mobley_7176248, CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-], trifluralin,-3.25,0.1,-2.02,0.04,-6.33,0.19,3.08,1.23,,,,,,,,,,9.49
mobley_994483, CCBr, bromoethane,-0.74,0.6,0.49,0.02,-0.45,0.05,0.29,1.23,,,,,,,,,,0.08
mobley_7988076, c1cc(ccc1C=O)O, 4-hydroxybenzaldehyde,-8.83,0.6,-10.05,0.03,-7.7,0.11,1.13,1.22,,,,,,,,,,1.28
mobley_8754702, CCCOC=O, propyl formate,-2.48,0.6,-3.7,0.02,-2.57,0.04,0.09,1.22,,,,,,,,,,0.01
mobley_7829570, CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]," N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",-3.51,1.93,-2.3,0.05,-6.6,0.33,3.09,1.21,,,,,,,,,,9.55
mobley_7150646, c1cc(ccc1Br)Br," 1,4-dibromobenzene",-2.3,0.6,-1.09,0.03,-1.96,0.12,0.34,1.21,,,,,,,,,,0.12
mobley_5708811, COc1c(ccc(c1C(=O)O)Cl)Cl, dicamba,-9.86,1.93,-8.66,0.04,-8.39,0.52,1.47,1.20,,,,,,,,,,2.16
mobley_3515580, COc1ccccc1O, 2-methoxyphenol,-5.94,0.1,-4.75,0.04,-3.66,0.84,2.28,1.19,,,,,,,,,,5.20
mobley_3151666, CCCCCCCCCCO, decan-1-ol,-3.64,0.6,-2.45,0.04,-2.81,0.15,0.83,1.19,,,,,,,,,,0.69
mobley_9653690, CC1=CC[C@H](C[C@@H]1O)C(=C)C," (1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",-4.44,0.43,-3.26,0.04,-3.69,0.13,0.75,1.18,,,,,,,,,,0.56
mobley_296847, c1ccncc1, pyridine,-4.69,0.6,-3.51,0.02,-4.49,0.05,0.20,1.18,,,,,,,,,,0.04
mobley_6060301, CCCCCCN, hexan-1-amine,-3.95,0.6,-2.77,0.03,-0.54,0.08,3.41,1.18,,,,,,,,,,11.63
mobley_2178600, CCCCCCl, 1-chloro-pentane,-0.1,0.2,1.08,0.03,1.46,0.12,1.56,1.18,,,,,,,,,,2.43
mobley_7157427, CCCCCCCCl, 1-chloroheptane,0.29,0.6,1.47,0.03,1.9,0.2,1.61,1.18,,,,,,,,,,2.59
mobley_2844990, c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl," 1,2,3,7-tetrachlorodibenzo-p-dioxin",-3.84,1,-2.66,0.04,-2.68,0.02,1.16,1.18,,,,,,,,,,1.35
mobley_1650157, CC(C)(C)O, 2-methylpropan-2-ol,-4.47,0.6,-3.29,0.03,-3.96,0.07,0.51,1.18,,,,,,,,,,0.26
mobley_299266, CC(=C)C, 2-methylprop-1-ene,1.16,0.6,2.33,0.02,1.39,0.05,0.23,1.17,,,,,,,,,,0.05
mobley_8764620, c1cc(cnc1)C#N, pyridine-3-carbonitrile,-6.75,0.6,-5.58,0.03,-7.6,0.07,0.85,1.17,,,,,,,,,,0.72
mobley_6195751, COc1c(c(c(c(c1Cl)C=O)Cl)OC)O," 2,6-dichlorosyringaldehyde",-8.68,0.76,-9.85,0.04,,,,1.17,,,,,,,,,,
mobley_7860938, CCCCNCCCC, N-butylbutan-1-amine,-3.24,0.6,-2.08,0.03,-0.41,0.13,2.83,1.16,,,,,,,,,,8.01
mobley_7542832, CCCOCCC, 1-propoxypropane,-1.16,0.6,0,0.03,-0.21,0.05,0.95,1.16,,,,,,,,,,0.90
mobley_7463799, c1ccc(cc1)CCCO, 3-phenylpropan-1-ol,-6.92,0.6,-5.77,0.04,-5.88,0.05,1.04,1.15,,,,,,,,,,1.08
mobley_7768165, C(CBr)Cl, 1-bromo-2-chloro-ethane,-1.95,0.6,-0.8,0.02,0.01,0.09,1.96,1.15,,,,,,,,,,3.84
mobley_4584540, Cc1cccc(n1)C," 2,6-dimethylpyridine",-4.59,0.6,-3.44,0.03,-2.92,0.07,1.67,1.15,,,,,,,,,,2.79
mobley_3639400, CCCCCl, 1-chlorobutane,-0.16,0.6,0.99,0.02,1.27,0.14,1.43,1.15,,,,,,,,,,2.04
mobley_8765203, CC(=C)C=C, isoprene,0.68,0.6,1.82,0.02,-0.05,0.05,0.73,1.14,,,,,,,,,,0.53
mobley_7708038, CCCBr, 1-bromopropane,-0.56,0.6,0.58,0.02,0.01,0.06,0.57,1.14,,,,,,,,,,0.32
mobley_3359593, CCCc1ccc(c(c1)OC)O, 4-propylguaiacol,-5.26,0.18,-4.13,0.05,-3.29,0.16,1.97,1.13,,,,,,,,,,3.88
mobley_4287564, Cc1ccccn1, 2-methylpyridine,-4.63,0.6,-3.5,0.03,-3.74,0.06,0.89,1.13,,,,,,,,,,0.79
mobley_7393673, COc1ccc(cc1)C(=O)OC, methyl 4-methoxybenzoate,-5.33,0.6,-6.46,0.03,-5.07,0.05,0.26,1.13,,,,,,,,,,0.07
mobley_2681549, c1c(cc(cc1Cl)Cl)Cl," 1,3,5-trichlorobenzene",-0.78,0.6,0.33,0.03,-0.3,0.08,0.48,1.11,,,,,,,,,,0.23
mobley_6359135, C(Cl)(Cl)(Cl)Cl, carbon tetrachloride,0.08,0.6,1.19,0.02,,,,1.11,,,,,,,,,,
mobley_4762983, CCCCCC=C, hept-1-ene,1.66,0.6,2.76,0.03,2.27,0.1,0.61,1.10,,,,,,,,,,0.37
mobley_2802855, CCCCBr, 1-bromobutane,-0.4,0.6,0.7,0.02,0.07,0.08,0.47,1.10,,,,,,,,,,0.22
mobley_8427539, CCC(=O)N, propionamide,-9.4,0.2,-8.31,0.02,-7.53,0.07,1.87,1.09,,,,,,,,,,3.50
mobley_7532833, CC#N, acetonitrile,-3.88,0.6,-2.79,0.02,-3.58,0.07,0.30,1.09,,,,,,,,,,0.09
mobley_8426916, CCNCC, N-ethylethanamine,-4.07,0.6,-2.99,0.03,0.29,0.1,4.36,1.08,,,,,,,,,,19.01
mobley_6978427, COC(=O)C1CCCCC1, methyl cyclohexanecarboxylate,-3.3,0.6,-4.38,0.03,-2.4,0.55,0.90,1.08,,,,,,,,,,0.81
mobley_951560, C1CNCCN1, piperazine,-7.4,0.6,-8.48,0.03,-6.94,0.37,0.46,1.08,,,,,,,,,,0.21
mobley_9705941, Cc1cccs1, 2-methylthiophene,-1.38,0.6,-0.3,0.02,-0.9,0.06,0.48,1.08,,,,,,,,,,0.23
mobley_6248915, CCCCCCCCN, octan-1-amine,-3.65,0.6,-2.59,0.03,-0.21,0.02,3.44,1.06,,,,,,,,,,11.83
mobley_1792062, C(CBr)Br," 1,2-dibromoethane",-2.33,0.6,-1.27,0.02,-1.01,0.11,1.32,1.06,,,,,,,,,,1.74
mobley_2422586, CCCOC, 1-methoxypropane,-1.66,0.6,-0.6,0.02,-0.71,0.05,0.95,1.06,,,,,,,,,,0.90
mobley_2261979, c1cc2cccc3c2c(c1)CC3, acenaphthene,-3.15,0.6,-4.2,0.03,-2.11,0.1,1.04,1.05,,,,,,,,,,1.08
mobley_6091882, C=C, ethylene,1.28,0.6,2.33,0.01,1.19,0.01,0.09,1.05,,,,,,,,,,0.01
mobley_5520946, c1ccc(cc1)S, benzenethiol,-2.55,0.6,-1.5,0.03,-1.49,0.1,1.06,1.05,,,,,,,,,,1.12
mobley_1659169, C1COCCN1, morpholine,-7.17,0.6,-6.12,0.03,-6.19,0.12,0.98,1.05,,,,,,,,,,0.96
mobley_5310099, CCCCC=C, hex-1-ene,1.58,0.6,2.63,0.03,1.97,0.06,0.39,1.05,,,,,,,,,,0.15
mobley_628951, c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl," 1,3-dichloro-2-(2,6-dichlorophenyl)benzene",-2.28,0.12,-1.23,0.04,-1.9,0.04,0.38,1.05,,,,,,,,,,0.14
mobley_3969312, c1ccc(cc1)C=O, benzaldehyde,-4.02,0.6,-5.06,0.03,-3.1,0.04,0.92,1.04,,,,,,,,,,0.85
mobley_3211679, C1CCC=CC1, cyclohexene,0.14,0.1,1.18,0.02,0.81,0.04,0.67,1.04,,,,,,,,,,0.45
mobley_2972906, c1ccsc1, thiophene,-1.4,0.2,-0.36,0.02,-1.93,0.03,0.53,1.04,,,,,,,,,,0.28
mobley_4219614, c1cc(c(c(c1Cl)Cl)Cl)Cl," 1,2,3,4-tetrachlorobenzene",-1.34,0.6,-0.3,0.03,-1.55,0.09,0.21,1.04,,,,,,,,,,0.04
mobley_6743808, Cc1ccc(cc1C)O," 3,4-dimethylphenol",-6.5,0.6,-5.47,0.03,-4.46,0.08,2.04,1.03,,,,,,,,,,4.16
mobley_4780078, Cc1ccc(c(c1)C)O," 2,4-dimethylphenol",-6.01,0.6,-4.98,0.03,-3.8,0.04,2.21,1.03,,,,,,,,,,4.88
mobley_7774695, CNc1ccccc1, N-methylaniline,-4.69,0.6,-5.72,0.03,-2.81,0.04,1.88,1.03,,,,,,,,,,3.53
mobley_1899443, CCCC(=C)C, 2-methylpent-1-ene,1.47,0.6,2.49,0.03,1.89,0.12,0.42,1.02,,,,,,,,,,0.18
mobley_5538249, c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl," 1,3,5-trichloro-2-phenyl-benzene",-2.16,0.1,-1.15,0.04,-1.33,0.06,0.83,1.01,,,,,,,,,,0.69
mobley_303222, CC=C, prop-1-ene,1.32,0.6,2.33,0.02,1.43,0.03,0.11,1.01,,,,,,,,,,0.01
mobley_1571523, Cc1cccc(c1C)O," 2,3-dimethylphenol",-6.16,0.6,-5.15,0.03,-3.86,0.1,2.30,1.01,,,,,,,,,,5.29
mobley_7608435, CCCCCCCC(=O)OC, methyl octanoate,-2.04,0.6,-3.04,0.04,-3.2,0.1,1.16,1.00,,,,,,,,,,1.35
mobley_3968739, COC(=O)c1ccccc1, methyl benzoate,-3.92,0.6,-4.92,0.03,-2.93,0.12,0.99,1.00,,,,,,,,,,0.98
mobley_5616693, C[C@@H]1CC[C@H](C(=O)C1)C(C)C," (2S,5R)-2-isopropyl-5-methylcyclohexanone",-2.53,0.25,-3.52,0.03,-3.86,0.38,1.33,0.99,,,,,,,,,,1.77
mobley_1662128, CCC=C, but-1-ene,1.38,0.6,2.37,0.02,1.67,0.07,0.29,0.99,,,,,,,,,,0.08
mobley_2354112, CCc1cccc(c1)O, 3-ethylphenol,-6.25,0.6,-5.27,0.03,-4.13,0.07,2.12,0.98,,,,,,,,,,4.49
mobley_9197172, CCCCCCC=C, oct-1-ene,1.92,0.6,2.9,0.03,2.41,0.06,0.49,0.98,,,,,,,,,,0.24
mobley_5326154, CN(C)c1ccccc1," N,N-dimethylaniline",-3.45,0.6,-4.43,0.03,-1.8,0.04,1.65,0.98,,,,,,,,,,2.72
mobley_6714389, CN, methanamine,-4.55,0.6,-3.58,0.02,-3.57,0.01,0.98,0.97,,,,,,,,,,0.96
mobley_778352, CC=C(C)C, 2-methylbut-2-ene,1.31,0.6,2.27,0.02,1.74,0.05,0.43,0.96,,,,,,,,,,0.18
mobley_1755375, Cc1cccc(c1O)C," 2,6-dimethylphenol",-5.26,0.6,-4.31,0.03,-3.17,0.09,2.09,0.95,,,,,,,,,,4.37
mobley_7239499, c1ccc2c(c1)Oc3cccc(c3O2)Cl, 1-chlorodibenzo-p-dioxin,-3.52,0.1,-4.47,0.04,-2.02,0.07,1.50,0.95,,,,,,,,,,2.25
mobley_5371840, c1ccc2c(c1)Oc3ccc(cc3O2)Cl, 2-chlorodibenzo-p-dioxin,-3.1,0.1,-4.05,0.04,-1.98,0.17,1.12,0.95,,,,,,,,,,1.25
mobley_3589456, COC(CCl)(OC)OC," 2-chloro-1,1,1-trimethoxy-ethane",-4.59,0.6,-3.64,0.03,-5.56,0.55,0.97,0.95,,,,,,,,,,0.94
mobley_3709920, CCCCCCCC=C, non-1-ene,2.06,0.6,3,0.03,2.61,0.1,0.55,0.94,,,,,,,,,,0.30
mobley_2341732, CCCCC(=O)OC, methyl pentanoate,-2.56,0.6,-3.49,0.03,-3.87,0.09,1.31,0.93,,,,,,,,,,1.72
mobley_6235784, CC[C@H](C)Cl, 2-chlorobutane,0,0.6,0.93,0.02,1.7,0.16,1.70,0.93,,,,,,,,,,2.89
mobley_9434451, CC(C)Br, 2-bromopropane,-0.48,0.6,0.45,0.02,1.16,0.07,1.64,0.93,,,,,,,,,,2.69
mobley_525934, CS, methanethiol,-1.2,0.2,-0.27,0.02,-0.15,0.04,1.05,0.93,,,,,,,,,,1.10
mobley_186894, CCCS, propanethiol,-1.1,0.2,-0.18,0.02,0.29,0.03,1.39,0.92,,,,,,,,,,1.93
mobley_3738859, CCCCCBr, 1-bromo-pentane,-0.1,0.2,0.82,0.03,0.29,0.04,0.39,0.92,,,,,,,,,,0.15
mobley_9565165, c1ccc-2c(c1)Cc3c2cccc3, 9H-fluorene,-3.35,0.6,-4.27,0.03,-8.54,0.05,5.19,0.92,,,,,,,,,,26.94
mobley_3144334, Cc1ccc(c(c1)O)C," 2,5-dimethylphenol",-5.91,0.6,-5.01,0.03,-3.78,0.13,2.13,0.90,,,,,,,,,,4.54
mobley_929676, CCCCCCBr, 1-bromohexane,0.18,0.6,1.08,0.03,0.53,0.02,0.35,0.90,,,,,,,,,,0.12
mobley_1781152, CC(C)(C)C(=O)OC," methyl 2,2-dimethylpropanoate",-2.4,0.6,-3.3,0.03,-2.46,0.04,0.06,0.90,,,,,,,,,,0.00
mobley_2126135, CCc1ccccc1O, 2-ethylphenol,-5.66,0.1,-4.77,0.03,-3.07,0.05,2.59,0.89,,,,,,,,,,6.71
mobley_8048190, CC(=O)N, acetamide,-9.71,0.6,-8.82,0.02,-7.64,0.07,2.07,0.89,,,,,,,,,,4.28
mobley_6456034, CC(C)COC(=O)C(C)C, isobutyl 2-methylpropanoate,-1.69,0.6,-2.58,0.03,-0.68,0.14,1.01,0.89,,,,,,,,,,1.02
mobley_9729792, C1C=CC=CC=C1," cyclohepta-1,3,5-triene",-0.99,0.6,-0.1,0.03,-1.61,0.07,0.62,0.89,,,,,,,,,,0.38
mobley_8827942, c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl," 1,2,4-trichlorodibenzo-p-dioxin",-4.05,0.1,-3.16,0.04,-1.92,0.07,2.13,0.89,,,,,,,,,,4.54
mobley_20524, c1ccc(cc1)O, phenol,-6.6,0.2,-5.71,0.03,-4.66,0.04,1.94,0.89,,,,,,,,,,3.76
mobley_8011706, CN(C)C=O," N,N-dimethylformamide",-7.81,0.6,-6.93,0.02,-6.92,0.07,0.89,0.88,,,,,,,,,,0.79
mobley_2517158, CCCCCCCBr, 1-bromoheptane,0.34,0.6,1.22,0.03,0.73,0.09,0.39,0.88,,,,,,,,,,0.15
mobley_5471704, CC(C)CCOC(=O)C, isopentyl acetate,-2.21,0.6,-3.07,0.03,-2.2,0.13,0.01,0.86,,,,,,,,,,0.00
mobley_4043951, CCCC=C, pent-1-ene,1.68,0.6,2.53,0.02,1.76,0.08,0.08,0.85,,,,,,,,,,0.01
mobley_9015240, CCCCCCCCBr, 1-bromooctane,0.52,0.6,1.35,0.03,0.86,0.06,0.34,0.83,,,,,,,,,,0.12
mobley_2845466, c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl," 2,3,7,8-tetrachlorodibenzo-p-dioxin",-3.37,1,-2.54,0.04,-3.13,0.08,0.24,0.83,,,,,,,,,,0.06
mobley_7009711, Cc1cc(cc(c1)O)C," 3,5-dimethylphenol",-6.27,0.6,-5.44,0.03,-4.33,0.08,1.94,0.83,,,,,,,,,,3.76
mobley_4035953, Cc1ccccc1O, o-cresol,-5.9,0.2,-5.08,0.03,-4,0.04,1.90,0.82,,,,,,,,,,3.61
mobley_4553008, c1cc(ccc1Cl)Cl," 1,4-dichlorobenzene",-1.01,0.6,-0.19,0.03,-1.23,0.08,0.22,0.82,,,,,,,,,,0.05
mobley_5123639, C[C@H](CC(C)C)O, 4-methylpentan-2-ol,-3.73,0.6,-2.91,0.03,-2.68,0.14,1.05,0.82,,,,,,,,,,1.10
mobley_282648, c1ccc2ccccc2c1, naphthalene,-2.4,0.6,-3.21,0.03,-1.67,0.07,0.73,0.81,,,,,,,,,,0.53
mobley_2489709, c1ccc(c(c1)Cl)Cl," 1,2-dichlorobenzene",-1.36,0.6,-0.55,0.03,-0.87,0.07,0.49,0.81,,,,,,,,,,0.24
mobley_6973347, CCOC(=O)C, ethyl acetate,-2.94,0.6,-3.75,0.03,-3.04,0.05,0.10,0.81,,,,,,,,,,0.01
mobley_627267, CC(C)CBr, 1-bromo-2-methyl-propane,-0.03,0.6,0.76,0.02,0.17,0.1,0.20,0.79,,,,,,,,,,0.04
mobley_2837389, c1cc[nH]c1, pyrrole,-4.78,0.6,-4.01,0.02,-4.93,0.05,0.15,0.77,,,,,,,,,,0.02
