# compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol),dG (CgenFF) lrc,std (CgenFF),dG (corrected),Crooks correction,error,Exp,MM-ASFE,MM-ASFE-err,ML-ASFE,ML-ASFE-err
mobley_1881249,CCCC(=O)C,pentan-2-one,-3.52,0.6,-3.17,0.03,-3.62,0.04,,,,-3.52,-2.7860244,0.02933087141,-2.729437587,0.04721366806
mobley_5346580,CC(=O)C(C)(C)C," 3,3-dimethylbutan-2-one",-3.11,0.6,-3.23,0.03,-3.25,0.13,,,,-3.11,-2.81017902,0.03009805329,-2.776652323,0.0321465776
mobley_3083321,COCOC,dimethoxymethane,-2.93,0.2,-3.22,0.04,-2.97,0.05,,,,-2.93,-2.88689262,0.02629557862,-2.790510987,0.03376131319
mobley_766666,C(=C(Cl)Cl)Cl," 1,1,2-trichloroethylene",-0.44,0.6,0.82,0.02,-1.01,0.05,,,,-0.44,0.7057214171,0.02288397626,0.5810053739,0.02489505503
mobley_9246215,C=CCC=C," penta-1,4-diene",0.93,0.6,2.36,0.02,0.46,0.04,,,,0.93,2.344468779,0.02441268534,2.215175941,0.03509631211
mobley_1396156,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,pentachloronitrobenzene,-5.22,0.25,-1.28,0.04,-6.14,0.08,,,,-5.22,-1.446409063,0.03440874419,-1.513687384,0.03808944004
mobley_9121449,CCC#C,but-1-yne,-0.16,0.6,0.28,0.02,-0.2,0.03,,,,-0.16,0.3722221644,0.02227099319,0.4043231383,0.02609685467
mobley_5935995,CCC(C)(C)C," 2,2-dimethylbutane",2.51,0.6,2.5,0.03,2.34,0.05,,,,2.51,2.583157851,0.02690650863,2.603436212,0.0287838841
mobley_5499659,Cn1ccnc1,1-methylimidazole,-8.41,0.6,-6.28,0.02,-8.58,0.05,,,,-8.41,-6.070395403,0.02695677597,-6.125249869,0.03152958643
mobley_2493732,C=C(Cl)Cl," 1,1-dichloroethylene",0.25,0.6,1.11,0.02,0.13,0.09,,,,0.25,1.138916298,0.02119959743,1.022753358,0.02316876966
mobley_8809274,c1ccc(cc1)C(F)(F)F,trifluoromethylbenzene,-0.25,0.6,-0.57,0.03,-0.5,0.02,,,,-0.25,-0.616815808,0.02877821651,-0.7201413069,0.03282523822
mobley_7497999,CC(=O)c1ccccc1,1-phenylethanone,-4.58,0.6,-5.08,0.03,-4.87,0.04,,,,-4.58,-5.242180218,0.03153424225,-5.132633626,0.03338010773
mobley_4465023,C(=C\Cl)\Cl," (Z)-1,2-dichloroethylene",-1.17,0.6,1.16,0.02,-1.58,0.07,,,,-1.17,-0.06294321973,0.02102806523,-0.09469547648,0.02298473206
mobley_9407874,CCCCCCC(=O)C,octan-2-one,-2.88,0.6,-2.76,0.03,-3.21,0.08,,,,-2.88,-2.361404748,0.03623643985,-2.172231608,0.06329691926
mobley_1821184,Cc1c[nH]c2c1cccc2,3-methyl-1H-indole,-5.88,0.6,-8.16,0.03,-6.28,0.04,,,,-5.88,-6.511618931,0.0325806664,-6.54107183,0.03614180202
mobley_2328633,CCCCCC1CCCC1,pentylcyclopentane,2.55,0.6,2.38,0.03,2.12,0.15,,,,2.55,2.557477425,0.0344534884,2.762881407,0.04550256908
mobley_252413,CCCC(C)(C)C," 2,2-dimethylpentane",2.88,0.6,2.69,0.03,2.61,0.1,,,,2.88,2.791843231,0.02956633277,2.845759479,0.03362280378
mobley_1722522,CCCC(=O)OCC,ethyl butanoate,-2.49,0.6,-3.38,0.03,-2.77,0.08,,,,-2.49,-2.915808622,0.03405909172,-2.761299881,0.07056200481
mobley_303222,CC=C,prop-1-ene,1.32,0.6,2.33,0.02,1.27,0.03,,,,1.32,2.294755751,0.01961056914,2.246189294,0.02081120867
mobley_4483973,c1ccc(cc1)F,fluorobenzene,-0.8,0.6,-0.04,0.02,-1.23,0.08,,,,-0.8,-0.1881680854,0.02488170836,-0.2323300191,0.02709629716
mobley_5072416,COc1ccccc1N,2-methoxyaniline,-6.12,0.6,-6.77,0.03,-6.5,0.21,,,,-6.12,-6.903589919,0.03164771807,-7.581918557,0.03573776184
mobley_1352110,CCCCN(CC)C(=O)SCCC,pebulate,-3.64,1.93,-4.57,0.04,-4.56,0.58,,,,-3.64,-4.481922041,0.04309183175,-3.925458478,0.1695938835
mobley_8754702,CCCOC=O,propyl formate,-2.48,0.6,-3.7,0.02,-2.83,0.04,,,,-2.48,-4.286217455,0.03261200539,-3.13795106,0.06123610203
mobley_2364370,CCCCOC(=O)C,butyl acetate,-2.64,0.6,-3.41,0.03,-2.94,0.11,,,,-2.64,-2.98642209,0.03308622632,-2.807814939,0.04192151397
mobley_2143011,CC(C)C=C,3-methylbut-1-ene,1.83,0.6,2.45,0.02,1.48,0.18,,,,1.83,2.50713424,0.02464165798,2.453787602,0.02946557549
mobley_8337977,CC(C)CC(=O)C,4-methylpentan-2-one,-3.05,0.6,-3.12,0.03,-3.33,0.04,,,,-3.05,-2.813687213,0.03034470506,-2.842363265,0.04573098073
mobley_1075836,CCC(=O)OC,methyl propanoate,-2.93,0.6,-3.65,0.03,-3.11,0.08,,,,-2.93,-3.333395352,0.0278573151,-3.189730923,0.03210420888
mobley_900088,CC(=C)C(=C)C," 2,3-dimethylbuta-1,3-diene",0.4,0.6,1.86,0.03,0.12,0.08,,,,0.4,1.640475413,0.02631353341,1.539289751,0.03317863727
mobley_1592519,CCCCCC(=O)OCC,ethyl hexanoate,-2.23,0.6,-2.93,0.03,-2.8,0.07,,,,-2.23,-2.667552379,0.0376200418,-2.313673512,0.07498277543
mobley_8118832,C=CCO,prop-2-en-1-ol,-5.03,0.6,-3.29,0.02,-5.2,0.09,,,,-5.03,-3.517601732,0.02526800845,-3.725687274,0.04131787497
mobley_1034539,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-3.04,0.1,-1.08,0.04,-3.98,0.13,,,,-3.04,-1.776642124,0.04039820994,-1.851043669,0.04432241485
mobley_7814642,c1cc(c(cc1Cl)Cl)Cl," 1,2,4-trichlorobenzene",-1.12,0.6,-0.12,0.03,-1.55,0.12,,,,-1.12,-0.4214327286,0.02866221256,-0.5017658881,0.03047194918
mobley_5471704,CC(C)CCOC(=O)C,isopentyl acetate,-2.21,0.6,-3.07,0.03,-2.63,0.13,,,,-2.21,-2.849675375,0.03568743829,-2.701274476,0.04038637217
